"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -1.700114026,       -10.6192119,      -10.97792646,       3.805410577,      -4.941261237,       0.190638629,      0.2184320698,                 0,                 0,                 0,     0.09495264035,      0.1816795481,      0.2259384823,                 0,       1.145791233
          0,           0,           1,      -2.094238741,      0.6158827725,      0.6051145981,        3.41013285,      -5.466201431,      0.2178859439,       0.243994173,                 0,                 0,                 0,      0.1006913495,      0.2078744103,      0.2525780484,                 0,       1.119825211
          0,           0,           2,      -2.171825686,      0.5547050097,      0.3661405887,       3.347173255,      -5.596784099,      0.2205647621,      0.2271546078,                 0,                 0,                 0,     0.08891755036,      0.2112297903,      0.2358601403,                 0,       1.029877146
          0,           0,           3,      -2.230932948,      0.4560341805,      0.1945331254,        3.29168303,      -5.691805908,      0.2182722027,      0.2097470409,                 0,                 0,                 0,     0.07907347694,      0.2096407265,       0.218374315,                 0,      0.9609425221
          0,           0,           4,      -2.290855996,      0.3634237178,      0.1954337652,       3.229611089,      -5.788183982,      0.2167806353,      0.2009109147,                 0,                 0,                 0,     0.07461872729,      0.2085065217,      0.2094852498,                 0,      0.9267936429
          0,           0,           5,      -2.306322335,      0.3096926149,       0.213513946,       3.206905957,      -5.823031125,      0.2160565528,      0.1977799758,                 0,                 0,                 0,     0.07344372561,      0.2079092238,      0.2063276702,                 0,      0.9154083651
          0,           0,           6,      -2.298462322,      0.2863133325,      0.2286891201,       3.207248325,      -5.841062471,      0.2151411264,      0.1968409795,                 0,                 0,                 0,     0.07343027284,      0.2070323887,      0.2053525396,                 0,      0.9149388718
          0,           0,           7,      -2.286332316,      0.2749380523,      0.2423118714,       3.213753119,      -5.848404628,      0.2135125729,      0.1962302325,                 0,                 0,                 0,     0.07356426511,      0.2054297755,      0.2046766481,                 0,      0.9190570363
          0,           0,           8,      -2.275517201,      0.2664467236,      0.2529894585,       3.220290835,       -5.85123635,      0.2110709898,      0.1954907307,                 0,                 0,                 0,     0.07365955795,       0.203019983,      0.2038393363,                 0,       0.926184744
          0,           0,           9,       -2.26652082,      0.2592597313,      0.2606346732,       3.225574308,      -5.851354631,       0.207883781,      0.1947311482,                 0,                 0,                 0,     0.07382036406,        0.19986598,      0.2029519069,                 0,      0.9367308373
          0,           0,          10,      -2.258419711,      0.2547888704,       0.266186859,       3.230039114,      -5.849407484,      0.2040421693,      0.1941465117,                 0,                 0,                 0,     0.07420059684,      0.1960510546,      0.2022129048,                 0,      0.9515018995
          0,           0,          11,      -2.250317095,      0.2543244126,      0.2705050816,       3.234307178,        -5.8450509,      0.1996269431,      0.1938333497,                 0,                 0,                 0,     0.07488575228,      0.1916520387,      0.2017220363,                 0,      0.9709778984
          0,           0,          12,      -2.241809206,      0.2572418073,      0.2738775161,       3.238595351,      -5.837947863,      0.1947148676,      0.1937958142,                 0,                 0,                 0,      0.0758913447,      0.1867454678,      0.2014865443,                 0,      0.9952800037
          0,           0,          13,      -2.232830823,       0.261946786,      0.2760665697,       3.242864678,      -5.828411059,      0.1893915772,      0.1939968175,                 0,                 0,                 0,     0.07719215499,      0.1814184015,      0.2014728227,                 0,       1.024315972
          0,           0,          14,      -2.223368684,      0.2668036318,      0.2765870712,       3.247155534,      -5.816507772,      0.1837535259,      0.1943846005,                 0,                 0,                 0,     0.07874041915,      0.1757693018,      0.2016330423,                 0,       1.057855078
          0,           0,          15,      -2.213348728,      0.2707377672,      0.2749866003,       3.251734701,      -5.802145122,      0.1779023902,      0.1949058408,                 0,                 0,                 0,     0.08047720052,      0.1699019116,       0.201918022,                 0,       1.095577415
          0,           0,          16,      -2.202661347,      0.2733075719,      0.2710381619,       3.257053146,      -5.785254361,      0.1719408524,       0.195497982,                 0,                 0,                 0,     0.08232851894,      0.1639213514,      0.2022693953,                 0,        1.13700717
          0,           0,          17,      -2.191243553,      0.2746364386,      0.2648566173,       3.263593116,      -5.766279659,      0.1659714216,      0.1961078042,                 0,                 0,                 0,     0.08421962314,      0.1579321919,      0.2026381169,                 0,       1.181575733
          0,           0,          18,      -2.179141979,      0.2752405025,      0.2569665813,       3.271700487,      -5.746097636,       0.160089899,      0.1966922242,                 0,                 0,                 0,     0.08607912634,       0.152031893,      0.2029850003,                 0,        1.22863607
          0,           0,          19,      -2.166538275,       0.275841848,      0.2483271094,        3.28145157,       -5.72543954,      0.1543809944,      0.1972232775,                 0,                 0,                 0,     0.08784329671,      0.1463062229,      0.2032855179,                 0,       1.277510086
          0,           0,          20,      -2.153776845,      0.2771678831,      0.2403031066,       3.292559378,      -5.705009452,      0.1489134109,      0.1976862527,                 0,                 0,                 0,     0.08945774409,      0.1408244217,      0.2035277394,                 0,       1.327524845
          0,           0,          21,      -2.141223569,      0.2798984087,      0.2344879358,       3.304537919,      -5.685377289,      0.1437489758,       0.198084478,                 0,                 0,                 0,     0.09088284679,      0.1356481324,      0.2037174824,                 0,       1.377988796
          0,           0,          22,      -2.129185718,      0.2845689748,       0.232363382,       3.316824169,      -5.666734287,      0.1389403979,       0.198437058,                 0,                 0,                 0,     0.09209455072,      0.1308292509,      0.2038759605,                 0,       1.428217142
          0,           0,          23,      -2.117813398,       0.291519768,      0.2348574075,       3.328948695,      -5.649109109,      0.1345285372,      0.1987744966,                 0,                 0,                 0,      0.0930833538,      0.1264073745,      0.2040352996,                 0,         1.4775638
          0,           0,          24,       -2.10714842,      0.3007289648,      0.2419995313,       3.340502848,      -5.632232146,      0.1305424594,      0.1991377515,                 0,                 0,                 0,     0.09385547765,      0.1224098945,      0.2042375958,                 0,       1.525463458
          0,           0,          25,      -2.096987969,      0.3118156999,      0.2528821302,       3.351408698,      -5.616000433,      0.1269992979,       0.199573413,                 0,                 0,                 0,     0.09443071717,      0.1188520524,      0.2045300919,                 0,       1.571452885
          0,           0,          26,      -2.087061038,      0.3241259575,      0.2659731566,       3.361818883,       -5.60039459,      0.1239055996,      0.2001321587,                 0,                 0,                 0,     0.09484230776,      0.1157383472,      0.2049636884,                 0,       1.615198663
          0,           0,          27,      -2.077218994,      0.3369109873,      0.2796280094,       3.371873611,      -5.585162569,      0.1212585909,      0.2008655169,                 0,                 0,                 0,     0.09513485449,      0.1130639307,      0.2055897598,                 0,       1.656505451
          0,           0,          28,      -2.067447924,      0.3495391591,      0.2925077292,       3.381604242,      -5.570114361,      0.1190444049,      0.2018211451,                 0,                 0,                 0,     0.09536053055,      0.1108130262,      0.2064553661,                 0,       1.695343392
          0,           0,          29,      -2.057775156,      0.3615698212,      0.3037811049,       3.390992783,      -5.555246885,      0.1172405064,      0.2030383838,                 0,                 0,                 0,     0.09557460926,      0.1089615314,      0.2075989073,                 0,       1.731810874
          0,           0,          30,      -2.048226959,      0.3728064892,      0.3131269509,       3.400026404,      -5.540543403,      0.1158159809,      0.2045477475,                 0,                 0,                 0,     0.09583271355,      0.1074773268,      0.2090496272,                 0,       1.766144412
          0,           0,          31,      -2.038839938,      0.3832751811,      0.3206336636,       3.408709533,      -5.526127285,      0.1147323252,      0.2063698557,                 0,                 0,                 0,     0.09618665194,      0.1063211095,      0.2108265767,                 0,       1.798707168
          0,           0,          32,       -2.02966874,      0.3931742691,      0.3266623112,       3.417064367,      -5.512028596,      0.1139436098,      0.2085175964,                 0,                 0,                 0,     0.09668162709,      0.1054464678,       0.212940782,                 0,       1.830006937
          0,           0,          33,      -2.020780898,      0.4028162632,      0.3317219378,       3.425123368,      -5.498220699,      0.1133995024,      0.2110047261,                 0,                 0,                 0,     0.09735684648,      0.1048025558,      0.2154039597,                 0,       1.860720036
          0,           0,          34,      -2.012241149,      0.4125489566,      0.3363572038,       3.432914404,      -5.484662918,      0.1130469055,      0.2138494627,                 0,                 0,                 0,     0.09824288816,       0.104335585,      0.2182321729,                 0,       1.891687895
          0,           0,          35,      -2.004084881,      0.4226688857,      0.3410397644,        3.44046694,      -5.471374927,      0.1128307058,      0.2170753946,                 0,                 0,                 0,     0.09935945635,      0.1039895359,      0.2214467691,                 0,       1.923903543
          0,           0,          36,      -1.996328006,       0.433319775,      0.3460787629,       3.447785324,      -5.458288613,      0.1126952907,      0.2207108264,                 0,                 0,                 0,      0.1007149346,      0.1037077006,      0.2250737886,                 0,       1.958474263
          0,           0,          37,      -1.988993223,      0.4444152281,      0.3515735022,       3.454806825,      -5.445377937,      0.1125872936,      0.2247893646,                 0,                 0,                 0,       0.102309092,      0.1034354008,      0.2291446595,                 0,       1.996578455
          0,           0,          38,      -1.982123503,      0.4556228087,      0.3574035746,       3.461382898,      -5.432642217,       0.112456924,      0.2293462699,                 0,                 0,                 0,      0.1041343445,      0.1031214658,       0.233692607,                 0,       2.039414396
          0,           0,          39,      -1.975746365,      0.4664330666,       0.363253547,       3.467337189,      -5.420078266,      0.1122597377,      0.2344141499,                 0,                 0,                 0,      0.1061769517,      0.1027201728,      0.2387484209,                 0,       2.088140901
          0,           0,          40,      -1.969857311,      0.4762795305,       0.368682772,       3.472533868,      -5.407705984,      0.1119569762,      0.2400141514,                 0,                 0,                 0,       0.108416912,      0.1021919426,      0.2443316685,                 0,        2.14380702
          0,           0,          41,      -1.964421633,      0.4846663121,      0.3732100877,       3.476919732,      -5.395430646,       0.111517365,      0.2461538698,                 0,                 0,                 0,      0.1108324503,      0.1015052201,      0.2504486786,                 0,       2.207314258
          0,           0,          42,      -1.959405014,       0.491256801,      0.3764089708,       3.480509986,      -5.383171809,      0.1109179163,      0.2528242599,                 0,                 0,                 0,      0.1134027574,      0.1006374005,      0.2570894867,                 0,       2.279381622
